time,scale1,scale2,scale3,scale4,total
1.3578300476074219,-0.019,-0.042,-0.163,0.022,-0.202
2.895824670791626,-0.019,-0.042,-0.163,0.022,-0.202
4.417685508728027,-0.019,-0.042,-0.163,0.022,-0.202
5.938563108444214,-0.019,-0.042,-0.163,0.022,-0.202
7.45477032661438,-0.019,-0.042,-0.163,0.022,-0.202
8.979418277740479,-0.019,-0.042,-0.163,0.022,-0.202
10.50170373916626,-0.019,-0.042,-0.163,0.022,-0.202
12.000460386276245,-0.018000000000000002,-0.042,-0.163,0.022,-0.201
13.542366743087769,-0.019,-0.042,-0.163,0.022,-0.202
15.040494203567505,-0.019,-0.042,-0.163,0.022,-0.202
16.54987072944641,-0.019,-0.042,-0.163,0.022,-0.202
18.060705423355103,-0.019,-0.042,-0.163,0.022,-0.202
19.582671403884888,-0.019,-0.042,-0.163,0.022,-0.202
21.105835437774658,-0.019,-0.042,-0.163,0.022,-0.202
22.61769199371338,-0.019,-0.042,-0.163,0.022,-0.202
