time,scale1,scale2,scale3,scale4,total
1.2112154960632324,-0.015,-0.042,-0.161,0.025,-0.193
1.745542049407959,-0.015,-0.042,-0.161,0.025,-0.193
2.132936716079712,-0.015,-0.042,-0.161,0.025,-0.193
2.53364896774292,-0.015,-0.042,-0.161,0.025,-0.193
2.9493722915649414,-0.015,-0.042,-0.161,0.025,-0.193
3.3566582202911377,-0.015,-0.042,-0.161,0.025,-0.193
3.748947858810425,-0.015,-0.042,-0.161,0.025,-0.193
4.149323463439941,-0.015,-0.042,-0.161,0.025,-0.193
4.5495641231536865,-0.015,-0.042,-0.161,0.025,-0.193
4.965488910675049,-0.015,-0.042,-0.161,0.025,-0.193
5.376460552215576,-0.015,-0.042,-0.161,0.024,-0.194
5.803857326507568,-0.015,-0.042,-0.161,0.025,-0.193
6.204707384109497,-0.015,-0.042,-0.161,0.025,-0.193
6.621052026748657,-0.015,-0.042,-0.161,0.025,-0.193
7.0214409828186035,-0.015,-0.042,-0.161,0.025,-0.193
7.427404403686523,-0.015,-0.042,-0.161,0.025,-0.193
7.8377861976623535,-0.015,-0.042,-0.161,0.025,-0.193
8.239368438720703,-0.015,-0.042,-0.161,0.025,-0.193
8.661346435546875,-0.016,-0.042,-0.161,0.025,-0.194
9.061814546585083,-0.016,-0.042,-0.161,0.025,-0.194
9.462418556213379,-0.015,-0.042,-0.161,0.025,-0.193
9.862177848815918,-0.015,-0.042,-0.161,0.025,-0.193
10.277775287628174,-0.015,-0.042,-0.161,0.025,-0.193
10.694139957427979,-0.015,-0.042,-0.161,0.025,-0.193
11.110018253326416,-0.015,-0.042,-0.161,0.025,-0.193
11.532302141189575,-0.015,-0.042,-0.161,0.025,-0.193
11.960662364959717,-0.015,-0.042,-0.161,0.025,-0.193
12.363973140716553,-0.015,-0.042,-0.161,0.025,-0.193
12.76453685760498,-0.015,-0.042,-0.161,0.025,-0.193
13.164912700653076,-0.016,-0.042,-0.161,0.025,-0.194
13.550188541412354,-0.016,-0.042,-0.161,0.025,-0.194
13.967934608459473,-0.015,-0.042,-0.161,0.025,-0.193
14.366912126541138,-0.015,-0.042,-0.161,0.025,-0.193
14.767372846603394,-0.015,-0.042,-0.161,0.025,-0.193
15.183216094970703,-0.016,-0.042,-0.161,0.025,-0.194
15.591974973678589,-0.015,-0.042,-0.161,0.025,-0.193
16.01191282272339,-0.015,-0.042,-0.161,0.025,-0.193
16.414368629455566,-0.015,-0.042,-0.161,0.025,-0.193
16.85160231590271,-0.016,-0.042,-0.161,0.025,-0.194
17.26795983314514,-0.015,-0.042,-0.161,0.025,-0.193
17.683597564697266,-0.015,-0.042,-0.161,0.025,-0.193
18.10861563682556,-0.015,-0.042,-0.161,0.025,-0.193
18.522429704666138,-0.015,-0.042,-0.161,0.025,-0.193
18.92337155342102,-0.015,-0.042,-0.161,0.025,-0.193
19.338746070861816,-0.015,-0.042,-0.161,0.025,-0.193
19.739710807800293,-0.015,-0.042,-0.161,0.025,-0.193
20.13990831375122,-0.015,-0.042,-0.161,0.025,-0.193
20.540413856506348,-0.015,-0.042,-0.161,0.025,-0.193
20.972112894058228,-0.015,-0.042,-0.161,0.025,-0.193
21.387826204299927,-0.015,-0.042,-0.161,0.025,-0.193
21.78804087638855,-0.015,-0.042,-0.161,0.025,-0.193
22.192122220993042,-0.015,-0.042,-0.161,0.025,-0.193
22.589550733566284,-0.015,-0.042,-0.161,0.025,-0.193
22.98995614051819,-0.015,-0.042,-0.161,0.025,-0.193
23.40644359588623,-0.015,-0.042,-0.161,0.025,-0.193
23.80722975730896,-0.015,-0.042,-0.161,0.025,-0.193
24.245055675506592,-0.015,-0.042,-0.161,0.025,-0.193
24.662041187286377,-0.015,-0.042,-0.161,0.025,-0.193
25.062483310699463,-0.015,-0.042,-0.161,0.025,-0.193
25.478363513946533,-0.016,-0.042,-0.161,0.025,-0.194
25.894105195999146,-0.016,-0.042,-0.161,0.025,-0.194
26.29470157623291,-0.015,-0.042,-0.161,0.025,-0.193
26.694727420806885,-0.015,-0.042,-0.161,0.025,-0.193
27.110461950302124,-0.015,-0.042,-0.161,0.025,-0.193
27.548534393310547,-0.015,-0.042,-0.161,0.025,-0.193
27.964545726776123,-0.015,-0.042,-0.161,0.025,-0.193
28.380637884140015,-0.015,-0.042,-0.161,0.025,-0.193
28.794078588485718,-0.015,-0.042,-0.161,0.025,-0.193
29.197646379470825,-0.015,-0.042,-0.161,0.025,-0.193
29.613495588302612,-0.015,-0.042,-0.161,0.025,-0.193
